point,plot,landscape,salinity.exposure,DateTime.PST,date,time.local,DateTimeLocal,Type,source,tide.note,tide.flow,tide.period,depth.cm,water.vial.id,ghg.id,filter.id,filter.volume.ml,salinity.psu,temperature.c,ph,do.mgl,orp.mv,fe2.mgl,hs.mgl,doc.mgl,tdn.mgl,CO2.umolar,CH4.umolar,N2O.umolar,d13ch4.permil,O2.umolar,CO2.stddev.umolar,CH4.stddev.umolar,N2O.stddev.umolar,d13ch4.stddev.permil,Sensor.HydraulicHead.m,Sensor.T.C,Sensor.S.PSU,Sensor.pH,Sensor.Note,Notes,alkalinity.caco3.mgl,tss.mgl,cdom,conductivity.uscm,spc.uscm,do.perc,pressure.mmhg,co2.ppm,ch4.ppm,n2o.ppm,nh3.ppm.for.reference.only,co2.stddev.ppm,ch4.stddev.ppm,n2o.stddev.ppm,nh3.stddev.ppm.for.reference.only,Kh.CO2,Kh.CH4,Kh.N2O,d13ch4.permil.raw,d13ch4.stddev.permil.raw,Filled.salinity.psu,Filled.temperature.c,Filled.ph,Fill.Notes
BC02,mouth,river.bank,medium,1/23/2018 9:50,1/23/2018,9:50:00 AM,1/23/2018 9:50,Porewater,sipper,NA,ebb,low tide,60,NA,NA,NA,NA,6.7,10.7,NA,NA,NA,NA,NA,28.04,NA,2169.697534,9.928241111,0.003618429,-22.11,NA,16.98391014,0.093931661,0.001003129,5.82,NA,NA,NA,NA,, ,NA,NA,NA,NA,NA,NA,NA,54000,177.57,0.07575,NA,422.7,1.68,0.021,NA,0.040179584,0.055911703,0.047768035,-22.11,5.82,6.7,10.7,NA,NA
BC03,mouth,floodplain,medium,1/23/2018 10:30,1/23/2018,10:30:00 AM,1/23/2018 10:30,Porewater,sipper,NA,ebb,low tide,60,NA,NA,NA,NA,9.4,NA,NA,NA,NA,NA,NA,8.485,NA,2376.942233,2.739231942,-0.004714882,-12.13224348,NA,1.743019943,0.002459953,0.00094708,6.683732099,NA,10.7,NA,NA,temp from BC02 at 9:50 and BC04 at 11:20 on 1/23, ,NA,NA,NA,NA,NA,NA,NA,66930,42.96,-0.08961,NA,49.08,0.03858,0.018,NA,0.035513854,0.063762382,0.052615575,-12.13224348,6.683732099,9.4,10.7,NA,sensor-filled T
BC04,mouth,hillslope,medium,1/23/2018 11:20,1/23/2018,11:20:00 AM,1/23/2018 11:20,Porewater,sipper,NA,flood,low tide,60,NA,NA,3608-203,100,2.6,10.7,NA,NA,NA,NA,NA,7.45,NA,1061.047273,6.416400079,0.011618102,NA,NA,0.132550945,0.000805004,0.00059891,NA,NA,NA,NA,NA,, ,NA,NA,NA,NA,NA,NA,NA,21894,140.1,0.28167,NA,2.7351,0.017577,0.01452,NA,0.048462925,0.045798716,0.041247212,9.585799484,7.588617672,2.6,10.7,NA,NA
BC02,mouth,river.bank,medium,1/23/2018 11:35,1/23/2018,11:35:00 AM,1/23/2018 11:35,Porewater,sipper,NA,flood,low tide,60,"3608-7, 3608-9,",NA,3608-204,48,6.5,9,NA,NA,NA,NA,NA,25.935,NA,2520.207079,7.020215766,0.00770301,NA,NA,0.956386276,0.001277659,0.000587341,NA,NA,NA,NA,NA,, ,NA,NA,NA,NA,NA,NA,NA,58500,121.98,0.15321,NA,22.2,0.0222,0.011682,NA,0.043080463,0.057552187,0.050277461,NA,NA,6.5,9,NA,NA
BC14,middle,hillslope,low,1/23/2018 14:15,1/23/2018,2:15:00 PM,1/23/2018 14:15,Porewater,sipper,NA,flood,high tide,60,"3608-8, 3608-13,",NA,3608-207,90,2.3,NA,NA,NA,NA,NA,NA,12.81,NA,2330.338067,148.7490515,-0.006840607,NA,NA,0.815373711,0.145547017,0.002718302,NA,NA,7.8,NA,NA,temp from BC14 at 10:20 on 1/25, ,NA,NA,NA,NA,NA,NA,NA,42870,3066,-0.15099,NA,15,3,0.06,NA,0.054358247,0.048515672,0.045305034,NA,NA,2.3,7.8,NA,sensor-filled T
BC12,middle,river.bank,low,1/23/2018 15:00,1/23/2018,3:00:00 PM,1/23/2018 15:00,Porewater,sipper,NA,flood,high tide,60,"3608-12, 3608-11,",NA,3608-205,65,2.7,NA,NA,NA,NA,NA,NA,8.435,NA,1010.524744,0.215873197,0.072575296,-2.3,NA,0.581017189,0.000431746,0.000738286,7.54,NA,9,NA,NA,temp from BC12 at 9:35 on 1/25, ,NA,NA,NA,NA,NA,NA,NA,19749,4.5,1.6503,NA,11.355,0.009,0.016788,NA,0.051168401,0.047971822,0.043977032,-2.3,7.54,2.7,9,NA,sensor-filled T
BC13,middle,floodplain,low,1/23/2018 15:20,1/23/2018,3:20:00 PM,1/23/2018 15:20,Porewater,sipper,NA,flood,high tide,60,"3608-10, 3608-15,",NA,3608-206,103,5.1,NA,NA,NA,NA,NA,NA,19.525,NA,1675.929586,22.52832926,0.00416449,NA,NA,0.109557234,0.305124098,0.000740354,NA,NA,7,NA,NA,temp from BC13 at 9:52 on 1/25, ,NA,NA,NA,NA,NA,NA,NA,33960,398.7,0.081,NA,2.22,5.4,0.0144,NA,0.049350106,0.056504463,0.051413461,NA,NA,5.1,7,NA,sensor-filled T
BC02,mouth,river.bank,medium,1/24/2018 15:45,1/24/2018,3:45:00 PM,1/24/2018 15:45,Porewater,sipper,NA,flood,high tide,60,"3608-14, 3608-17,",NA,3608-208,72,7.2,NA,NA,NA,NA,NA,NA,29.865,NA,1731.502289,62.00346245,-0.160222894,-63.54634839,NA,0.511900159,0.181032007,0.003157101,1.541759104,NA,8.4,NA,NA,temp from BC14 at 12:10 on 1/25, ,NA,NA,NA,NA,NA,NA,NA,40590,1027.5,-3.045,NA,12,3,0.06,NA,0.042658347,0.060344002,0.052618356,-63.54634839,1.541759104,7.2,8.4,NA,sensor-filled T
BC03,mouth,floodplain,medium,1/24/2018 16:00,1/24/2018,4:00:00 PM,1/24/2018 16:00,Porewater,sipper,NA,flood,high tide,60,"3608-16, 3608-19,",NA,3608-209,68,4.9,NA,NA,NA,NA,NA,NA,14.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA
BC04,mouth,hillslope,medium,1/24/2018 16:30,1/24/2018,4:30:00 PM,1/24/2018 16:30,Porewater,sipper,NA,flood,high tide,60,"3608-18, 3608-27,",NA,3608-210,95,1.1,NA,NA,NA,NA,NA,NA,12.635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Duplicate DateTime-ok ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA
